date,state,total,phase2,mysj,call,web,children,children_solo,adolescents,elderly,comorb,oku
2021-07-07,Selangor,4236199,1175779,4114686,2555,118958,0,0,275153,561396,905609,74107
2021-07-07,Terengganu,526422,168331,462290,310,63822,0,0,29312,82077,134063,11009
2021-07-07,W.P. Kuala Lumpur,1601339,450239,1560350,1196,39793,0,0,85795,237580,328665,29047
2021-07-07,W.P. Labuan,58746,17150,53335,20,5391,0,0,3541,6030,13989,1176
2021-07-07,W.P. Putrajaya,84448,21696,82859,31,1558,0,0,8554,4819,19283,1524
2021-07-08,Johor,2212862,701897,2029774,1213,181875,0,0,121509,393457,509476,44351
2021-07-08,Kedah,1022354,369359,928951,942,92461,0,0,48421,196371,286292,22753
2021-07-08,Kelantan,674317,239326,572777,458,101082,0,0,31036,127939,185482,14236
2021-07-08,Melaka,557579,194186,529027,494,28058,0,0,31871,104336,149694,15174
2021-07-08,Negeri Sembilan,700884,251198,658439,662,41783,0,0,40720,134022,196391,15944
2021-07-08,Pahang,817010,279950,680111,646,136253,0,0,42495,152226,210572,17925
2021-07-08,Perak,1264875,491356,1143463,1550,119862,0,0,56058,296463,366017,25718
2021-07-08,Perlis,139697,56502,124582,176,14939,0,0,7444,28242,45386,3794
2021-07-08,Pulau Pinang,1093253,353350,1050810,805,41638,0,0,46489,205574,252478,21915
2021-07-08,Sabah,927386,275865,847535,305,79546,0,0,35853,129278,215495,13038
2021-07-08,Sarawak,1695113,543362,1397756,494,296863,0,0,93229,287161,404116,23018
2021-07-08,Selangor,4260283,1180880,4138119,2616,119548,0,0,277275,563097,909573,74738
2021-07-08,Terengganu,530232,169412,465047,315,64870,0,0,29752,82547,134919,11100
2021-07-08,W.P. Kuala Lumpur,1610305,451813,1568937,1210,40158,0,0,86350,238131,329823,29294
2021-07-08,W.P. Labuan,58860,17172,53455,20,5385,0,0,3554,6036,14006,1176
2021-07-08,W.P. Putrajaya,84893,21800,83297,33,1563,0,0,8630,4836,19370,1544
2021-07-09,Johor,2226968,704914,2042224,1211,183533,0,0,123457,394742,511662,44773
2021-07-09,Kedah,1029524,371903,936248,927,92349,0,0,49108,197608,288164,23016
2021-07-09,Kelantan,677940,240378,576450,453,101037,0,0,31332,128531,186224,14315
2021-07-09,Melaka,560776,195095,532253,497,28026,0,0,32178,104655,150414,15300
2021-07-09,Negeri Sembilan,707954,253111,665715,654,41585,0,0,41290,134729,197862,16245
2021-07-09,Pahang,820918,280894,684437,641,135840,0,0,42969,152613,211321,18004
