date,state,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
2021-03-06,W.P. Putrajaya,0,0,0,0,0,2291,0,2291,0,0,0,0,0,0,0,0,0,0
2021-03-07,Johor,1205,1,1206,0,0,10829,5,10834,0,0,1205,1,0,0,0,0,0,0
2021-03-07,Kedah,857,1,858,0,0,6328,4,6332,0,0,857,1,0,0,0,0,0,0
2021-03-07,Kelantan,223,0,223,0,0,12599,0,12599,0,0,223,0,0,0,0,0,0,0
2021-03-07,Melaka,0,0,0,0,0,4177,0,4177,0,0,0,0,0,0,0,0,0,0
2021-03-07,Negeri Sembilan,0,0,0,0,0,4894,1,4895,0,0,0,0,0,0,0,0,0,0
2021-03-07,Pahang,656,0,656,0,0,14480,2,14482,0,0,656,0,0,0,0,0,0,0
2021-03-07,Perak,3,0,3,0,0,10526,1,10527,0,0,3,0,0,0,0,0,0,0
2021-03-07,Perlis,0,0,0,0,0,2230,0,2230,0,0,0,0,0,0,0,0,0,0
2021-03-07,Pulau Pinang,120,0,120,0,0,5330,1,5331,0,0,120,0,0,0,0,0,0,0
2021-03-07,Sabah,2363,0,2363,0,0,12941,5,12946,0,0,2363,0,0,0,0,0,0,0
2021-03-07,Sarawak,4312,0,4312,0,0,20693,11,20704,0,0,4312,0,0,0,0,0,0,0
2021-03-07,Selangor,354,0,354,0,0,12577,2,12579,0,0,354,0,0,0,0,0,0,0
2021-03-07,Terengganu,2343,0,2343,0,0,7324,1,7325,0,0,2343,0,0,0,0,0,0,0
2021-03-07,W.P. Kuala Lumpur,0,0,0,0,0,11244,2,11246,0,0,0,0,0,0,0,0,0,0
2021-03-07,W.P. Labuan,100,0,100,0,0,2192,2,2194,0,0,100,0,0,0,0,0,0,0
2021-03-07,W.P. Putrajaya,0,0,0,0,0,2291,0,2291,0,0,0,0,0,0,0,0,0,0
2021-03-08,Johor,3028,0,3028,0,0,13857,5,13862,0,0,3028,0,0,0,0,0,0,0
2021-03-08,Kedah,3110,0,3110,0,0,9438,4,9442,0,0,3110,0,0,0,0,0,0,0
2021-03-08,Kelantan,1196,0,1196,0,0,13795,0,13795,0,0,1196,0,0,0,0,0,0,0
2021-03-08,Melaka,99,0,99,0,0,4276,0,4276,0,0,99,0,0,0,0,0,0,0
2021-03-08,Negeri Sembilan,1123,0,1123,0,0,6017,1,6018,0,0,1123,0,0,0,0,0,0,0
2021-03-08,Pahang,1051,0,1051,0,0,15531,2,15533,0,0,1051,0,0,0,0,0,0,0
2021-03-08,Perak,2243,0,2243,0,0,12769,1,12770,0,0,2243,0,0,0,0,0,0,0
2021-03-08,Perlis,839,1,840,0,0,3069,1,3070,0,0,839,1,0,0,0,0,0,0
2021-03-08,Pulau Pinang,1199,2,1201,0,0,6529,3,6532,0,0,1199,2,0,0,0,0,0,0
2021-03-08,Sabah,2041,0,2041,0,0,14982,5,14987,0,0,2041,0,0,0,0,0,0,0
2021-03-08,Sarawak,3141,1,3142,0,0,23834,12,23846,0,0,3141,1,0,0,0,0,0,0
2021-03-08,Selangor,3004,7,3011,0,0,15581,9,15590,0,0,3004,7,0,0,0,0,0,0
2021-03-08,Terengganu,2228,1,2229,0,0,9552,2,9554,0,0,2228,1,0,0,0,0,0,0
2021-03-08,W.P. Kuala Lumpur,2499,0,2499,0,0,13743,2,13745,0,0,2499,0,0,0,0,0,0,0
2021-03-08,W.P. Labuan,31,0,31,0,0,2223,2,2225,0,0,31,0,0,0,0,0,0,0
2021-03-08,W.P. Putrajaya,284,0,284,0,0,2575,0,2575,0,0,284,0,0,0,0,0,0,0
2021-03-09,Johor,2100,0,2100,0,0,15957,5,15962,0,0,2100,0,0,0,0,0,0,0
2021-03-09,Kedah,2299,0,2299,0,0,11737,4,11741,0,0,2299,0,0,0,0,0,0,0
2021-03-09,Kelantan,1019,0,1019,0,0,14814,0,14814,0,0,1019,0,0,0,0,0,0,0
2021-03-09,Melaka,954,0,954,0,0,5230,0,5230,0,0,954,0,0,0,0,0,0,0
2021-03-09,Negeri Sembilan,2410,0,2410,0,0,8427,1,8428,0,0,2410,0,0,0,0,0,0,0
2021-03-09,Pahang,943,0,943,0,0,16474,2,16476,0,0,943,0,0,0,0,0,0,0
2021-03-09,Perak,2906,0,2906,0,0,15675,1,15676,0,0,2906,0,0,0,0,0,0,0
2021-03-09,Perlis,1100,0,1100,0,0,4169,1,4170,0,0,1100,0,0,0,0,0,0,0
2021-03-09,Pulau Pinang,1373,6,1379,0,0,7902,9,7911,0,0,1373,6,0,0,0,0,0,0
2021-03-09,Sabah,2997,1,2998,0,0,17979,6,17985,0,0,2997,1,0,0,0,0,0,0
2021-03-09,Sarawak,2109,3,2112,0,0,25943,15,25958,0,0,2109,3,0,0,0,0,0,0
2021-03-09,Selangor,3895,0,3895,0,0,19476,9,19485,0,0,3895,0,0,0,0,0,0,0
2021-03-09,Terengganu,2183,0,2183,0,0,11735,2,11737,0,0,2183,0,0,0,0,0,0,0
2021-03-09,W.P. Kuala Lumpur,3291,0,3291,0,0,17034,2,17036,0,0,3291,0,0,0,0,0,0,0
2021-03-09,W.P. Labuan,26,0,26,0,0,2249,2,2251,0,0,26,0,0,0,0,0,0,0
2021-03-09,W.P. Putrajaya,369,0,369,0,0,2944,0,2944,0,0,369,0,0,0,0,0,0,0
